Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,Total general,,,
VITTCORDOBA,AÉREO,"5,925.48",145.50,,,,,,"1,767.16",,,,,"7,838.15",Mediano,Poco Frecuente,
JULIETA BISTACCO,AÉREO,"5,110.48",12.00,,,,,,,,"1,731.20",238.66,657.44,"7,749.78",Mediano,Frecuente,
EURASIA TURISMO,TERRESTRE,205.37,,,"1,072.25",,,"5,035.56",,,"1,271.26",,,"7,584.44",Mediano,Poco Frecuente,
SIDDARTHA VIAJES,AÉREO,,,,,,,,,,,"1,071.18",,"1,071.18",Pequeño,Poco Frecuente,
SIDDARTHA VIAJES,TERRESTRE,,85.65,,,"1,754.00","1,677.00",,,,,"2,669.54",,"6,186.19",Mediano,Poco Frecuente,
CURUNDU VIAJES,AÉREO,"2,151.37",581.32,,,,,,,,,,,"2,732.69",Mediano,Poco Frecuente,
CURUNDU VIAJES,TERRESTRE,766.49,,,,,"1,135.67","2,460.14",,,,,,"4,362.30",Mediano,Poco Frecuente,
BABILONIA VIAJES Y TUR,TERRESTRE,"2,362.50",,,"2,424.78",,,,"2,288.19",,,,,"7,075.47",Mediano,Poco Frecuente,
OBRA SOCIAL DE DOCENTE,AÉREO,"2,632.74","1,761.89",,,,,,,,896.45,"1,198.18",578.11,"7,067.36",Mediano,Frecuente,
UNICORNIO,AÉREO,"6,728.17",,,,,,,,,204.74,,,"6,932.91",Mediano,Poco Frecuente,
